name,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status,Software,Mobile,Curated Web,Biotechnology,Advertising,E-Commerce,Enterprise Software,Social Media,Games,Health Care,Analytics,Finance,Internet,Security,Hardware + Software,SaaS,Technology,Web Hosting,Semiconductors,Video,Clean Technology,Networking,Health and Wellness,Social Network Media,Search,Apps,Cloud Computing,Services,Web,Messaging,Education,Sales and Marketing,Music,News,Travel,Web Development,iPhone,Fashion,Entertainment,Media,Manufacturing,Android,age_at_first_funding,age_at_last_funding
Zeebo,25000000,USA,CA,2007-01-01,2,2010-05-27,2011-08-29,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4
Zeer,1050000,USA,MA,2007-06-01,1,2007-08-01,2007-08-01,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeetl,-,CAN,BC,2013-03-01,1,2013-09-01,2013-09-01,acquired,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zefanclub,1000000,FRA,A8,2008-01-01,1,2008-01-01,2008-01-01,closed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeltiq Aesthetics,70424200,USA,CA,2005-01-01,3,2007-10-29,2010-06-03,ipo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
Zencoder,2000000,USA,CA,2007-01-01,2,2010-02-01,2011-04-12,acquired,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4
Zend Technologies,51000000,USA,CA,1999-01-01,6,2004-07-19,2014-06-24,acquired,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
Zendesk,85500000,USA,CA,2007-10-05,6,2008-06-18,2014-05-15,ipo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Zenfolio, Inc",220000,USA,CA,2005-01-01,1,2005-04-01,2005-04-01,acquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenprise,64630000,USA,CA,2003-01-01,6,2005-06-06,2012-01-01,acquired,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
Zenring,500000,USA,CA,2008-03-19,1,2008-05-01,2008-05-01,closed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZenSoon,429564,FRA,A8,2012-01-01,1,2013-09-01,2013-09-01,acquired,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Zentact,250000,USA,CA,2008-09-01,1,2008-09-01,2008-09-01,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
